name,family,V,E,F,euler,face_histogram,reliability,diagnostic_status,closed_manifold,convexity,decomposition_modes,component_count,topological_entities,note
Tetraedro,Platônicos,4,6,4,2,"{""3"": 4}",métrico-exato,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,14,Modelo catalogado com coordenadas explícitas ou operação clássica suficientemente estável para visualização métrica didática.
Cubo,Platônicos,8,12,6,2,"{""4"": 6}",métrico-exato,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,26,Modelo catalogado com coordenadas explícitas ou operação clássica suficientemente estável para visualização métrica didática.
Octaedro,Platônicos,6,12,8,2,"{""3"": 8}",métrico-exato,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,26,Modelo catalogado com coordenadas explícitas ou operação clássica suficientemente estável para visualização métrica didática.
Icosaedro,Platônicos,12,30,20,2,"{""3"": 20}",métrico-exato,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,62,Modelo catalogado com coordenadas explícitas ou operação clássica suficientemente estável para visualização métrica didática.
Dodecaedro,Platônicos,20,30,12,2,"{""5"": 12}",métrico-exato,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,62,Modelo catalogado com coordenadas explícitas ou operação clássica suficientemente estável para visualização métrica didática.
Prisma triangular,Prismas,6,9,5,2,"{""3"": 2, ""4"": 3}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,20,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Prisma pentagonal,Prismas,10,15,7,2,"{""4"": 5, ""5"": 2}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,32,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Antiprisma 3-gonal,Antiprismas,6,12,8,2,"{""3"": 8}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,26,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Antiprisma 4-gonal,Antiprismas,8,16,10,2,"{""3"": 8, ""4"": 2}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,34,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Antiprisma 5-gonal,Antiprismas,10,20,12,2,"{""3"": 10, ""5"": 2}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,42,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Antiprisma 6-gonal,Antiprismas,12,24,14,2,"{""3"": 12, ""6"": 2}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,50,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Antiprisma 8-gonal,Antiprismas,16,32,18,2,"{""3"": 16, ""8"": 2}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,66,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Pirâmide triangular,Pirâmides,4,6,4,2,"{""3"": 4}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,14,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Pirâmide quadrada,Pirâmides,5,8,5,2,"{""3"": 4, ""4"": 1}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,18,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Pirâmide pentagonal,Pirâmides,6,10,6,2,"{""3"": 5, ""5"": 1}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,22,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Pirâmide hexagonal,Pirâmides,7,12,7,2,"{""3"": 6, ""6"": 1}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,26,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Bipirâmide 3-gonal,Bipirâmides,5,9,6,2,"{""3"": 6}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,20,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Bipirâmide 4-gonal,Bipirâmides,6,12,8,2,"{""3"": 8}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,26,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Bipirâmide 5-gonal,Bipirâmides,7,15,10,2,"{""3"": 10}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,32,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Bipirâmide 6-gonal,Bipirâmides,8,18,12,2,"{""3"": 12}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,38,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Bipirâmide 8-gonal,Bipirâmides,10,24,16,2,"{""3"": 16}",paramétrico-estável,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,50,"Família paramétrica construída por fórmula; adequada para explosão, métricas e comparação topológica."
Trapezoedro 3-gonal,Trapezoedros,8,12,6,2,"{""4"": 6}",derivado-didático,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,26,Dual polar didático de Antiprisma 3-gonal.
Trapezoedro 4-gonal,Trapezoedros,10,16,8,2,"{""4"": 8}",derivado-didático,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,34,Dual polar didático de Antiprisma 4-gonal.
Trapezoedro 5-gonal,Trapezoedros,12,20,10,2,"{""4"": 10}",derivado-didático,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,42,Dual polar didático de Antiprisma 5-gonal.
Trapezoedro 6-gonal,Trapezoedros,14,24,12,2,"{""4"": 12}",derivado-didático,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,50,Dual polar didático de Antiprisma 6-gonal.
Cuboctaedro,Arquimedianos selecionados,12,24,14,2,"{""3"": 8, ""4"": 6}",derivado-didático,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,50,Retificação didática de Cubo.
Icosidodecaedro,Arquimedianos selecionados,30,60,32,2,"{""3"": 20, ""5"": 12}",derivado-didático,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,122,Retificação didática de Dodecaedro.
Tetraedro truncado,Arquimedianos selecionados,12,18,8,2,"{""3"": 4, ""6"": 4}",derivado-didático,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,38,Truncamento didático de Tetraedro.
Cubo truncado,Arquimedianos selecionados,24,36,14,2,"{""3"": 8, ""8"": 6}",derivado-didático,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,74,Truncamento didático de Cubo.
Octaedro truncado,Arquimedianos selecionados,24,36,14,2,"{""4"": 6, ""6"": 8}",derivado-didático,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,74,Truncamento didático de Octaedro.
Dodecaedro truncado,Arquimedianos selecionados,60,90,32,2,"{""3"": 20, ""10"": 12}",derivado-didático,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,182,Truncamento didático de Dodecaedro.
Icosaedro truncado,Arquimedianos selecionados,60,90,32,2,"{""5"": 12, ""6"": 20}",derivado-didático,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,182,Truncamento didático de Icosaedro.
Dodecaedro rômbico,Catalan selecionados,14,24,12,2,"{""4"": 12}",derivado-didático,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,50,Dual polar didático de Cuboctaedro.
Triacontaedro rômbico,Catalan selecionados,32,60,30,2,"{""4"": 30}",derivado-didático,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,122,Dual polar didático de Icosidodecaedro.
Triakis tetraedro,Catalan selecionados,8,18,12,2,"{""3"": 12}",derivado-didático,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,38,Dual polar didático de Tetraedro truncado.
Tetrakis hexaedro,Catalan selecionados,14,36,24,2,"{""3"": 24}",derivado-didático,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,74,Dual polar didático de Cubo truncado.
Triakis octaedro,Catalan selecionados,14,36,24,2,"{""3"": 24}",derivado-didático,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,74,Dual polar didático de Octaedro truncado.
Pentakis dodecaedro,Catalan selecionados,32,90,60,2,"{""3"": 60}",derivado-didático,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,182,Dual polar didático de Icosaedro truncado.
J1 Pirâmide quadrada,Johnson iniciais,5,8,5,2,"{""3"": 4, ""4"": 1}",topológico-didático,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,18,"Modelo adequado para explicar faces, peças e conectividade; não deve ser usado como certificação métrica de Johnson regular."
J2 Pirâmide pentagonal,Johnson iniciais,6,10,6,2,"{""3"": 5, ""5"": 1}",topológico-didático,ok,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,22,"Modelo adequado para explicar faces, peças e conectividade; não deve ser usado como certificação métrica de Johnson regular."
J3 Cúpula triangular,Johnson iniciais,9,15,8,2,"{""3"": 4, ""4"": 3, ""6"": 1}",topológico-didático,aviso,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,32,Modelo Johnson didático: topologia de cúpula para visualização.
J4 Cúpula quadrada,Johnson iniciais,12,20,10,2,"{""3"": 4, ""4"": 5, ""8"": 1}",topológico-didático,aviso,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,42,Modelo Johnson didático: topologia de cúpula para visualização.
J5 Cúpula pentagonal,Johnson iniciais,15,25,12,2,"{""3"": 5, ""4"": 5, ""5"": 1, ""10"": 1}",topológico-didático,aviso,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,52,Modelo Johnson didático: topologia de cúpula para visualização.
J6 Rotunda pentagonal,Johnson experimentais,15,25,12,2,"{""3"": 5, ""5"": 6, ""10"": 1}",experimental-auditado,experimental,False,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,52,"EXPERIMENTAL: a auditoria v0.5.1 detectou malha não-manifold nesta parametrização didática da rotunda. Use apenas para visualização, não para volume formal."
J7 Cúpula triangular alongada,Johnson iniciais,15,27,14,2,"{""3"": 4, ""4"": 9, ""6"": 1}",topológico-didático,aviso,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,56,Cúpula alongada didática: cúpula + prisma.
J8 Cúpula quadrada alongada,Johnson iniciais,20,36,18,2,"{""3"": 4, ""4"": 13, ""8"": 1}",topológico-didático,aviso,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,74,Cúpula alongada didática: cúpula + prisma.
J9 Cúpula pentagonal alongada,Johnson iniciais,25,45,22,2,"{""3"": 5, ""4"": 15, ""5"": 1, ""10"": 1}",topológico-didático,aviso,True,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,92,Cúpula alongada didática: cúpula + prisma.
J10 Rotunda pentagonal alongada,Johnson experimentais,25,45,22,2,"{""3"": 5, ""4"": 10, ""5"": 6, ""10"": 1}",experimental-auditado,experimental,False,convexo provável,Pirâmides face-centro; Faces; Componentes; Camadas; Vértices/arestas/faces,1,92,"EXPERIMENTAL: rotunda alongada baseada na J6 auditada como não-manifold. Use apenas para visualização, não para volume formal."
